#angDist  RA_ICRS    DE_ICRS   umag   gmag   rmag   imag   zmag   e_umag e_gmag e_rmag e_imag  e_zm source_id          
0.051596 175.215122 40.517424 18.749 18.765 18.511 18.473 18.597 0.020  0.008  0.009  0.010   0.03 767557178881147008 
0.051596 175.215122 40.517424 18.750 18.765 18.511 18.473 18.598 0.020  0.008  0.009  0.010   0.03 767557178881147008 
0.081595 177.127143 47.218299 19.218 18.715 18.747 18.641 18.642 0.023  0.008  0.011  0.012   0.03 786518295558623488 
0.086653 177.127141 47.218298 19.159 18.684 18.687 18.575 18.553 0.023  0.008  0.010  0.012   0.03 786518295558623488 
0.006477 177.085412 45.877270 19.141 18.878 18.598 18.591 18.604 0.025  0.009  0.009  0.011   0.03 774338313766729856 
0.030391 177.085398 45.877273 19.145 18.887 18.607 18.597 18.629 0.025  0.009  0.009  0.011   0.03 774338313766729856 
0.010450 177.277764 47.231047 18.926 18.724 18.522 18.431 17.925 0.019  0.008  0.009  0.011   0.02 786521383638364288 
0.017858 177.277761 47.231048 18.924 18.723 18.524 18.433 17.911 0.019  0.008  0.009  0.011   0.02 786521383638364288 
0.037158 177.013777 46.174587 16.968 15.120 14.284 13.855 13.578 0.010  0.002  0.002  0.002   0.00 774360170855604480 
0.037159 177.013777 46.174587 16.964 15.117 14.281 13.852 13.575 0.010  0.002  0.002  0.002   0.00 774360170855604480 
0.043744 177.013776 46.174589 16.954 15.113 14.283 13.858 13.573 0.010  0.002  0.002  0.002   0.00 774360170855604480 
0.048610 173.770897 39.966441 18.948 18.791 18.521 18.592 18.687 0.021  0.009  0.009  0.011   0.03 767610883152749440 
0.051398 173.770892 39.966445 18.950 18.797 18.525 18.603 18.711 0.021  0.009  0.009  0.011   0.03 767610883152749440 
0.084048 177.204337 46.302506 18.692 18.158 18.094 18.044 17.827 0.016  0.006  0.007  0.009   0.01 774363778628128128 
0.090658 177.204334 46.302503 18.685 18.156 18.092 18.040 17.818 0.016  0.006  0.007  0.009   0.02 774363778628128128 
0.001065 177.788779 47.482128 17.486 17.179 17.106 17.193 17.138 0.010  0.004  0.005  0.006   0.01 786547673134349568 
