Filename,Object_name,RA,Dec,GAIA_ID,GAIA_Gmag,Type,Subtype,Method,Chi2,z,z_std,AB,AB_std,compoM_AB,compoM_AB_std,best_compoM_extinct_params,best_compoM_Chi2,LOF_val,SDSS-u,err_SDSS-u,SDSS-g,err_SDSS-g,SDSS-r,err_SDSS-r,SDSS-i,err_SDSS-i,SDSS-z,err_SDSS-z,SDSS_phot_method,UKIDSS_Y,err_UKIDSS_Y,UKIDSS_J,err_UKIDSS_J,UKIDSS_H,err_UKIDSS_H,UKIDSS_K,err_UKIDSS_K,UKIDSS_phot_method,WISE_W1,err_WISE_W1,WISE_W2,err_WISE_W2,WISE_W3,err_WISE_W3,WISE_W4,err_WISE_W4,WISE_phot_method
spec-6484-56358-0564.fits,SDSS J125423.13+305018.5,193.5964188985944,30.838490873981947,1.4654602617832026e+18,18.327289581298828,QSO,QSO,xPCA,5990.246511684216,2.008948370941377,0.0002581936263932269,,,4.521473009910272e-10,0.00012735530433186828,MW,10447.541108343305,-1.0185682648056664,18.554,0.017,18.599,0.007,18.564,0.009,18.423,0.01,18.3,0.02,Surveyphotometry.dat crossmatch,99.999,99.999,17.683,0.033,17.287,0.042,16.806,0.049,Surveyphotometry.dat crossmatch,15.722,0.044,14.467,0.048,10.945,0.11,8.492,0.313,Surveyphotometry.dat crossmatch
spec-2243-53794-0204.fits,SDSS J131334.14+260811.0,198.39226378326555,26.136383588283653,1.4597332149513272e+18,18.271528244018555,QSO,QSO,xPCA,4133.548183092649,1.7977887828837014,0.0002714202357625219,,,0.030136497291676747,0.005908968492485801,MW,4701.8963793089115,-1.160863241256085,18.567,0.016,18.582,0.008,18.64,0.009,18.387,0.009,18.397,0.02,Surveyphotometry.dat crossmatch,99.999,99.999,17.301,0.021,16.971,0.028,16.296,0.029,Surveyphotometry.dat crossmatch,15.334,0.035,14.205,0.042,11.042,0.124,8.296,0.3,Surveyphotometry.dat crossmatch
spec-2241-54156-0536.fits,SDSS J130100.86+281944.7,195.25361489076332,28.32909471569297,1.4608430044375818e+18,16.89444923400879,QSO,QSO-MIDZ,xPCA,3442.0906632176993,1.3615111475013304,0.00029259913337716136,,,1.1447886174719042e-09,4.32032642740358e-05,MW,4879.469145491077,-1.0257838541308166,17.412,0.01,17.315,0.005,17.084,0.005,17.005,0.006,17.007,0.01,Surveyphotometry.dat crossmatch,99.999,99.999,15.957,0.007,15.268,0.008,14.882,0.009,Surveyphotometry.dat crossmatch,13.381,0.024,11.954,0.021,9.022,0.029,6.728,0.082,Surveyphotometry.dat crossmatch
spec-2242-54153-0206.fits,SDSS J130552.47+261124.5,196.4686367809078,26.1901198097743,1.4595173327150006e+18,18.581104278564453,QSO,QSO,xPCA,3785.003294110111,1.0680926922252079,0.000349843639802557,,,0.014632801308943125,0.0036119419545159303,LMC,4303.099025754823,-1.023739628707534,18.689,0.017,18.596,0.008,18.348,0.008,18.388,0.01,18.557,0.03,Surveyphotometry.dat crossmatch,99.999,99.999,17.367,0.024,16.897,0.025,16.164,0.027,Surveyphotometry.dat crossmatch,14.94,0.032,13.642,0.033,10.711,0.109,8.36,0.321,Surveyphotometry.dat crossmatch
spec-2240-53823-0311.fits,SDSS J124925.96+272634.5,192.35819347034032,27.44292963213195,3.9618253745471237e+18,18.291658401489258,QSO,QSO,xPCA,5431.959026028893,1.1574482931055567,0.00024387083110849665,,,1.628143962966594e-12,2.100963588930527e-05,SMC,10974.487895510632,-1.0322423783404273,18.665,0.018,18.525,0.007,18.346,0.008,18.402,0.01,18.468,0.03,Surveyphotometry.dat crossmatch,99.999,99.999,17.85,0.034,17.232,0.043,16.438,0.035,Surveyphotometry.dat crossmatch,14.816,0.031,13.451,0.032,10.52,0.075,8.202,0.291,Surveyphotometry.dat crossmatch
spec-6484-56358-0991.fits,SDSS J130444.78+305858.1,196.1865840507108,30.98283436315344,1.4662115374621942e+18,18.557674407958984,QSO,QSO,xPCA,18719.909169202918,2.4616805748341384,0.00017663530530011306,,,0.20885852623491474,0.0035203068765836676,MW,33324.313824344325,-1.1238546910163307,19.426,0.027,18.943,0.009,18.882,0.01,18.868,0.013,18.647,0.02,Surveyphotometry.dat crossmatch,99.999,99.999,17.649,0.032,17.046,0.048,16.324,0.036,Surveyphotometry.dat crossmatch,15.837,0.047,14.707,0.056,11.445,0.162,99.999,99.999,Surveyphotometry.dat crossmatch
spec-2246-53767-0317.fits,SDSS J133511.22+255637.3,203.7967746723193,25.94371343741378,1.4480954341269458e+18,18.788564682006836,QSO,QSO,xPCA,11710.30048285573,2.5011823943755567,0.0003489389891975681,,,0.09735183617594192,0.003426881180816181,LMC,13725.115453884722,-1.128528990719206,19.571,0.029,18.849,0.008,18.772,0.01,18.787,0.012,18.63,0.03,Surveyphotometry.dat crossmatch,99.999,99.999,17.703,0.032,17.317,0.046,99.999,99.999,Surveyphotometry.dat crossmatch,15.829,0.048,14.949,0.07,11.14,0.129,99.999,99.999,Surveyphotometry.dat crossmatch
spec-6492-56362-0846.fits,SDSS J133102.95+324716.1,202.76232000855404,32.787818490738246,1.469108583099993e+18,18.371522903442383,QSO,QSO-MIDZ,xPCA,16985.27128263611,1.6883119868370262,0.0004027613435207067,,,0.44964820803354555,0.0022184385334532986,SMC,30593.64573934794,-1.6017686596347491,19.856,0.033,19.3,0.011,18.606,0.009,18.204,0.008,18.165,0.02,Surveyphotometry.dat crossmatch,99.999,99.999,16.873,0.018,16.328,0.027,15.776,0.023,Surveyphotometry.dat crossmatch,15.036,0.03,14.186,0.037,11.213,0.133,8.289,0.263,Surveyphotometry.dat crossmatch
spec-2651-54507-0466.fits,SDSS J131336.84+223609.9,198.4035473968349,22.60274928496508,3.9439409932877855e+18,18.806005477905273,QSO,QSO-MIDZ,xPCA,4296.609129247611,1.3127569781511257,0.0002660880390229122,,,0.2273211130377104,0.004888996524527123,SMC,7657.578605320535,-1.5088358234661898,19.124,0.025,19.557,0.012,18.998,0.011,19.095,0.019,19.113,0.04,Surveyphotometry.dat crossmatch,99.999,99.999,17.951,0.035,16.983,0.025,16.907,0.047,Surveyphotometry.dat crossmatch,16.074,0.055,14.693,0.057,11.213,0.155,99.999,99.999,Surveyphotometry.dat crossmatch
spec-2011-53499-0281.fits,SDSS J125605.67+284942.2,194.0236183893431,28.828392107713288,1.464097554558992e+18,18.551837921142578,QSO,QSO-MIDZ,xPCA,3907.436473189644,1.3483020969659607,0.0005925810600885877,,,1.3315382108546048e-10,4.4869192055308757e-05,MW,9950.947586122753,-1.1613385347071306,19.101,0.02,19.046,0.009,18.949,0.011,18.929,0.013,19.006,0.03,Surveyphotometry.dat crossmatch,99.999,99.999,18.178,0.073,17.61,0.052,17.034,0.07,Surveyphotometry.dat crossmatch,15.552,0.041,14.157,0.04,11.231,0.145,99.999,99.999,Surveyphotometry.dat crossmatch
spec-2094-53851-0374.fits,spec-2094-53851-0374,204.67974485144268,31.27052610469409,1.4566636233017498e+18,18.31483268737793,GALAXY,GALAXY-PASS,xPCA,12779.371774730702,0.015710213375520178,8.305890765888515e-06,,,3.105411729044746,0.002480942622693938,MW,846867.380980455,-1.1092509824924974,16.212,0.009,14.349,0.002,13.506,0.002,13.084,0.002,14.436,0.0,Surveyphotometry.dat crossmatch,99.999,99.999,13.674,0.002,13.001,0.002,12.686,0.002,Surveyphotometry.dat crossmatch,11.101,0.022,11.206,0.02,10.141,0.052,8.958,0.455,Surveyphotometry.dat crossmatch
spec-2648-54485-0224.fits,SDSS J124232.29+220255.0,190.6345117327264,22.048608028115325,3.9554860414743204e+18,17.850671768188477,QSO,QSO,xPCA,9428.614254066899,1.8946096125793934,0.00011644568669833864,,,0.10123772762812173,0.0026265373709397494,LMC,17379.510114874814,-1.3333134496169796,18.299,0.015,18.4,0.007,18.277,0.008,17.874,0.007,17.876,0.01,Surveyphotometry.dat crossmatch,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,Surveyphotometry.dat crossmatch,14.729,0.032,13.67,0.034,10.497,0.075,8.381,0.278,Surveyphotometry.dat crossmatch
spec-2653-54230-0336.fits,SDSS J132836.15+221635.4,202.15063658911976,22.2765098272524,1.4424883371423386e+18,18.04328155517578,QSO,QSO,xPCA,4185.383023526949,1.1544494859089327,0.0001745203350763709,,,0.03917077066301471,0.0023634261483723544,LMC,5114.815127839705,-1.0187149182819721,18.17,0.013,18.039,0.006,17.83,0.006,17.769,0.007,17.779,0.01,Surveyphotometry.dat crossmatch,99.999,99.999,17.24,0.023,16.608,0.018,15.898,0.018,Surveyphotometry.dat crossmatch,14.386,0.028,12.846,0.026,9.658,0.038,7.124,0.078,Surveyphotometry.dat crossmatch
spec-2660-54504-0538.fits,SDSS J124257.32+254303.0,190.73885436523088,25.71751246098423,3.961214424039097e+18,18.673934936523438,QSO,QSO-MIDZ,xPCA,5184.967638214439,0.8262910887051065,0.00014376871065889212,,,9.794961255927756e-11,5.2068675060463045e-05,MW,12424.597143233657,-1.2407742382694598,18.826,0.018,18.524,0.008,18.534,0.009,18.723,0.012,18.581,0.03,Surveyphotometry.dat crossmatch,99.999,99.999,17.355,0.024,17.199,0.032,16.24,0.03,Surveyphotometry.dat crossmatch,14.447,0.029,13.366,0.03,10.567,0.094,8.008,0.195,Surveyphotometry.dat crossmatch
