angDist,source_id,ra,dec,l,b,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,phot_g_mean_mag,phot_g_mean_flux,phot_g_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ref_epoch,JName,ra,dec,yAperMag3,j_1AperMag3,hAperMag3,kAperMag3,yAperMag3Err,j_1AperMag3Err,hAperMag3Err,kAperMag3Err,sourceID,mode,epoch,mergedClass
0.370471,3962030055509187840,192.32670532338662,28.295448586388574,144.8121204516561,88.7411095635911,-0.04021649406255187,0.14732558,0.29748150792811107,0.16956219,-0.005792778424864117,0.14751525,18.204914,983.9677239137532,4.5827456,18.315119,17.81761,0.497509,2016.0,J124918.43+281743.4,192.326803,+28.295392,17.922,17.561,17.099,16.637,0.029,0.034,0.030,0.042,433797011622,1,2010.2369,-2
0.063683,3962252367311419776,190.91423620129905,27.55107334806104,198.73666713260866,88.22108530279652,0.032879961603519185,0.14245564,-0.0973808208821501,0.13845329,-0.21042645838087937,0.13682094,18.135443,1048.9854342799197,7.4677753,18.110298,17.509462,0.6008358,2016.0,J124339.42+273303.8,190.914256,+27.551072,17.239,16.787,15.991,15.059,0.016,0.015,0.016,0.011,433798011875,1,2010.2367,1
0.237776,3962255008715515648,190.17766293724276,27.094101990329886,213.14016133686096,87.61265154842678,0.058321841522630785,0.17500463,-0.17508009246356476,0.19164202,0.1838776109147211,0.17943664,18.49765,751.4271969060025,3.1916585,18.638775,18.231548,0.40722656,2016.0,J124042.63+270539.0,190.177659,+27.094168,17.933,17.237,17.156,16.315,0.028,0.026,0.043,0.038,433798454044,1,2010.1659,-1
0.110553,3962263495571199744,190.4062878703625,27.243653964172072,209.34466199619382,87.81480187529243,0.16374482902614934,0.22277705,-0.32219088896502257,0.20776607,-0.13620825577942333,0.24030337,18.825691,555.4827667932593,3.1311557,18.78431,18.47187,0.31243896,2016.0,J124137.51+271437.2,190.406312,+27.243676,17.809,17.840,17.163,16.144,0.026,0.044,0.040,0.032,433798221782,1,2010.1659,1
0.126910,3962281912391047680,190.29763847314703,27.427058531553154,204.86973359323093,87.70356662389837,0.04976251099821517,0.16318093,0.07974601713896576,0.18676604,-0.09730622336325442,0.20170869,18.437654,794.1175153798338,2.9769528,18.699415,18.05289,0.6465244,2016.0,J124111.44+272537.4,190.297678,+27.427062,17.740,17.551,16.925,16.405,0.023,0.027,0.035,0.034,433797982052,1,2010.2367,-1
0.060432,3962475671250959616,190.17583997901104,27.604642978932446,201.01330219851516,87.56961126297979,0.21358109547886506,0.19078144,0.09142477805902473,0.17952095,-0.1170932593805768,0.17762248,18.449186,785.7278963656648,1.4667413,18.645552,18.05641,0.58914185,2016.0,J124042.19+273616.7,190.175821,+27.604642,17.735,17.455,16.872,16.345,0.023,0.025,0.035,0.032,433797750651,2,2010.2367,-1
0.120819,3962475671250959616,190.17583997901104,27.604642978932446,201.01330219851516,87.56961126297979,0.21358109547886506,0.19078144,0.09142477805902473,0.17952095,-0.1170932593805768,0.17762248,18.449186,785.7278963656648,1.4667413,18.645552,18.05641,0.58914185,2016.0,J124042.19+273616.6,190.175803,+27.604636,17.709,17.282,,16.414,0.022,0.021,,0.035,433797984376,1,2010.2367,-1
0.049012,3962476152287281664,190.0489646890551,27.599240583240032,201.60222042835522,87.45997955946304,0.09827692325736358,0.24499547,0.029290192820945315,0.2353204,0.13909292607425477,0.23283976,18.712246,616.6636415467855,1.756248,19.003225,18.222427,0.78079796,2016.0,J124011.75+273557.3,190.048973,+27.599252,18.086,17.544,,16.482,0.030,0.027,,0.038,433797984664,1,2010.2367,-1
0.058868,3962635336659952384,191.31753552518774,27.831309403632908,185.3771324116089,88.46195738879938,0.13685856441235092,0.21299517,0.18906111101858608,0.26615563,-0.18257851259720903,0.2754244,18.840492,547.9613078758108,1.5840664,19.017399,18.470764,0.5466347,2016.0,J124516.20+274952.7,191.317541,+27.831325,18.156,18.033,17.531,16.795,0.033,0.040,0.056,0.048,433797735151,2,2010.2367,-2
0.120596,3962635336659952384,191.31753552518774,27.831309403632908,185.3771324116089,88.46195738879938,0.13685856441235092,0.21299517,0.18906111101858608,0.26615563,-0.18257851259720903,0.2754244,18.840492,547.9613078758108,1.5840664,19.017399,18.470764,0.5466347,2016.0,J124516.21+274952.7,191.317569,+27.831325,18.199,18.062,17.802,16.843,0.037,0.047,0.077,0.053,433797513688,1,2010.2367,-2
0.128719,3962661797953737984,191.52801692965318,28.014561889813827,175.72057809068895,88.52403021626594,0.1803054620592977,0.22636437,0.02131884595700466,0.17791472,-0.06415287400852442,0.19487616,18.581806,695.3832663057121,4.599595,18.623392,18.260948,0.36244392,2016.0,J124606.72+280052.3,191.528001,+28.014529,17.431,17.715,17.158,16.412,0.018,0.029,0.040,0.034,433797541623,1,2010.2367,-1
0.057215,3962679660722395904,190.83290235964077,27.742178656022073,193.6207658155985,88.09949101903419,0.1426872161268329,0.16732232,-0.08621192844660003,0.15892026,-0.043751979114547666,0.18433383,18.498423,750.8923464824186,3.2509716,18.535973,18.102604,0.43336868,2016.0,J124319.89+274431.7,190.832905,+27.742163,17.466,17.554,16.935,15.937,0.019,0.027,0.037,0.023,433797797115,1,2010.2367,-2
0.163521,3962714089179959936,191.29556396375006,28.162071336231612,175.83942203080346,88.27143588283349,-0.1313656400471822,0.16018136,0.07733641053167638,0.13967165,-0.002421279583344052,0.15500858,18.112965,1070.929075707206,2.2507896,18.424837,17.647438,0.77739906,2016.0,J124510.94+280943.5,191.295596,+28.162107,17.308,16.818,16.083,15.823,0.018,0.016,0.017,0.023,433797266978,1,2010.2367,-1
0.083960,3962736564744365184,191.08922448407455,28.43429022338938,172.69781290612008,87.96076007144156,0.025538516397410317,0.13138063,-0.16181450752439408,0.15884794,-0.06327696482287974,0.15471554,18.12011,1063.9059337822832,4.5789876,18.296793,17.787712,0.5090809,2016.0,J124421.41+282603.5,191.089219,+28.434313,17.041,16.962,16.480,15.938,0.014,0.020,0.018,0.022,433797054376,1,2010.2369,-1
0.140291,3962778410610155648,191.87051346379621,28.535382689846298,154.56420213107222,88.34325284785452,0.13189376138288905,0.26617137,0.2923665331065223,0.21462029,-0.03953383438462773,0.23552376,18.893202,521.9942393397712,1.8121908,19.104597,18.56545,0.5391464,2016.0,J124728.92+283207.4,191.870540,+28.535414,18.198,17.929,17.633,17.321,0.037,0.048,0.071,0.084,433796808949,1,2010.2369,-1
0.116403,3962813633637592320,192.30173138994502,28.806015606537233,139.1646956650615,88.25141986502727,-0.02350770006281797,0.16970907,-0.15959533807105325,0.1872229,-0.17809673246722124,0.18453501,18.562485,707.869329329706,1.5201303,18.882427,18.086498,0.79592896,2016.0,J124912.42+284821.6,192.301768,+28.806012,17.737,17.416,16.954,16.452,0.026,0.035,0.029,0.041,433796480618,1,2010.2369,-1
0.045091,3962842014781417216,191.39731764386897,28.761884224157004,160.92419094030564,87.91746680005889,-0.40053756657757233,0.48094985,0.5094028391755923,0.46447292,-0.3089756336987398,0.4959125,18.319273,885.5992395646575,4.431742,16.682001,15.54203,1.1399708,2016.0,J124535.35+284542.8,191.397325,+28.761895,15.120,14.579,14.060,13.713,0.004,0.004,0.003,0.004,433796485507,1,2010.2369,1
0.188168,3962845446459824768,191.72028299801815,28.826392604392183,153.31099796110425,88.02624554922627,-0.10376063849026533,0.1846149,0.04460606098146913,0.19387844,-0.059100610818143814,0.21840136,18.840807,547.802190157817,2.3117437,18.9981,18.532623,0.465477,2016.0,J124652.87+284935.1,191.720299,+28.826443,18.065,17.982,17.637,16.900,0.030,0.047,0.047,0.053,433796532835,1,2010.2369,-1
