#GAIA_ID RA Dec SDSS-u err_SDSS-u SDSS-g err_SDSS-g SDSS-r err_SDSS-r SDSS-i err_SDSS-i SDSS-z err_SDSS-z UKIDSS_Y err_UKIDSS_Y UKIDSS_J err_UKIDSS_J UKIDSS_H err_UKIDSS_H UKIDSS_K err_UKIDSS_K 2MASS_J err_2MASS_J 2MASS_H err_2MASS_H 2MASS_K err_2MASS_K WISE_W1 err_WISE_W1 WISE_W2 err_WISE_W2 WISE_W3 err_WISE_W3 WISE_W4 err_WISE_W4
759172479301568256 170.79880716338076 34.15287330418853 18.469 0.022 16.618 0.004 15.769 0.003 15.358 0.003 15.017 0.0 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 14.358 0.041 13.638 0.047 13.371 0.045 12.858 0.023 12.902 0.025 12.149 0.326 99.999 99.999
759195667829691776 170.93847880765827 34.20567691806375 19.0 0.023 18.857 0.009 18.712 0.01 18.76 0.012 18.719 0.04 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 15.653 0.042 14.447 0.049 11.293 0.16 8.817 0.441
759198146026120320 171.08086247924265 34.320419029932474 18.702 0.019 18.433 0.007 18.392 0.008 18.208 0.009 18.26 0.03 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 14.053 0.026 12.854 0.027 10.165 0.07 8.111 0.232
759313457308062592 171.560265115747 34.8864307529268 99.999 9.999 99.999 9.999 18.44 0.008 18.403 0.01 99.999 9.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 14.629 0.029 13.691 0.035 10.624 0.092 8.019 0.189
759361286063880320 171.41524451666578 34.92647428679731 19.47 0.026 19.248 0.011 19.093 0.011 18.86 0.013 18.884 0.03 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 15.804 0.046 14.335 0.047 10.753 0.098 8.584 0.322
759401035986021888 171.72527482619546 35.42002185461999 19.885 0.04 19.42 0.011 18.835 0.01 18.638 0.011 18.11 0.02 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 17.086 0.166 16.367 0.214 15.451 0.163 14.556 0.03 13.336 0.03 10.033 0.055 7.856 0.184
759410695367606016 171.5563386040388 35.33404068916989 17.857 0.012 17.767 0.005 17.535 0.005 17.49 0.006 17.544 0.01 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 16.901 0.138 15.862 0.137 15.613 0.188 14.417 0.029 13.034 0.026 10.19 0.061 8.277 0.333
759439553253015168 172.85842101917137 34.5357468414891 18.957 0.028 18.828 0.009 18.46 0.009 18.288 0.011 17.746 0.02 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 13.728 0.025 12.831 0.025 10.589 0.086 8.337 0.382
759451579161052672 172.84728214553513 34.764760047452874 19.656 0.034 19.068 0.009 18.524 0.008 18.442 0.01 18.465 0.03 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 14.505 0.029 13.088 0.029 10.161 0.059 7.916 0.191
759469652383498368 173.42192465176788 34.98942609772916 19.326 0.028 18.851 0.009 18.75 0.009 18.825 0.013 18.689 0.03 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 15.723 0.047 14.53 0.054 10.689 0.099 8.455 0.356
