angDist,source_id,ra,dec,l,b,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,phot_g_mean_mag,phot_g_mean_flux,phot_g_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ref_epoch,objID,RA_ICRS,DE_ICRS,errHalfMaj,errHalfMin,errPosAng,mode,class,clean,e_RA_ICRS,e_DE_ICRS,umag,gmag,rmag,imag,zmag,e_umag,e_gmag,e_rmag,e_imag,e_zmag,zsp,e_zsp,f_zsp,spCl,subCl,pmRA,pmDE,e_pmRA,e_pmDE,sigRA,sigDE,zph,e_zph,<zph>,Q,SDSS16,Sp-ID,MJD
0.020280,1456538897449621760,206.64575531826412,31.359386584457773,55.60216102045129,77.25994292500366,-0.1364139344307167,0.16648069,-0.035845313978427475,0.11411059,-0.10184106562944086,0.15958019,18.412794,812.5103594264218,1.5858872,18.303722,17.46681,0.83691216,2016.0,1237665180591783954,206.645749,31.359386,0.005,0.005,0,3,3,0,0.005,0.005,18.657,18.373,17.940,17.674,17.521,0.019,0.007,0.007,0.008,0.017,,,,,,,,,,,,,,,3,SDSS J134634.97+312133.7,,53117.3297
0.020280,1456538897449621760,206.64575531826412,31.359386584457773,55.60216102045129,77.25994292500366,-0.1364139344307167,0.16648069,-0.035845313978427475,0.11411059,-0.10184106562944086,0.15958019,18.412794,812.5103594264218,1.5858872,18.303722,17.46681,0.83691216,2016.0,1237665180591783955,206.645749,31.359386,0.005,0.005,0,1,3,1,0.005,0.005,18.657,18.373,17.940,17.674,17.521,0.019,0.007,0.007,0.008,0.017,0.24646,0.00003,0,QSO,STARBURST,0.31,-0.33,2.72,2.72,70.84,171.36,0.2711,0.0527,0.1962,3,SDSS J134634.97+312133.7,2024-53503-0237,53117.3297
0.094825,1456538897449621760,206.64575531826412,31.359386584457773,55.60216102045129,77.25994292500366,-0.1364139344307167,0.16648069,-0.035845313978427475,0.11411059,-0.10184106562944086,0.15958019,18.412794,812.5103594264218,1.5858872,18.303722,17.46681,0.83691216,2016.0,1237665227850383376,206.645725,31.359388,0.004,0.004,0,3,3,0,0.004,0.004,18.630,18.394,17.951,17.683,17.495,0.019,0.008,0.007,0.007,0.016,,,,,,,,,,,,,,,3,SDSS J134634.97+312133.7,,53120.3842
0.123177,1456538897449621760,206.64575531826412,31.359386584457773,55.60216102045129,77.25994292500366,-0.1364139344307167,0.16648069,-0.035845313978427475,0.11411059,-0.10184106562944086,0.15958019,18.412794,812.5103594264218,1.5858872,18.303722,17.46681,0.83691216,2016.0,1237665227850383377,206.645715,31.359390,0.004,0.004,0,2,3,0,0.004,0.004,18.688,18.409,17.985,17.725,17.526,0.020,0.008,0.007,0.008,0.016,,,,,,-0.02,0.28,2.72,2.72,53.03,180.86,,,,3,SDSS J134634.97+312133.8,,53120.3842
0.010045,1456543192417905280,206.50400544414597,31.43020834696884,56.065115388467945,77.35643391756665,0.34987884810863945,0.6235569,-0.06590476568077433,0.464794,1.1548392299495953,0.6366262,18.824314,556.1873437112627,5.4522,17.129402,15.899467,1.2299347,2016.0,1237665227850317851,206.504004,31.430206,0.003,0.002,0,3,3,0,0.002,0.003,18.054,16.478,15.744,15.383,15.120,0.018,0.004,0.003,0.003,0.005,,,,,,,,,,,,,,,3,SDSS J134600.96+312548.7,,53120.3838
0.027139,1456543192417905280,206.50400544414597,31.43020834696884,56.065115388467945,77.35643391756665,0.34987884810863945,0.6235569,-0.06590476568077433,0.464794,1.1548392299495953,0.6366262,18.824314,556.1873437112627,5.4522,17.129402,15.899467,1.2299347,2016.0,1237665227850317852,206.503997,31.430210,0.003,0.002,0,1,3,1,0.002,0.003,18.125,16.497,15.757,15.404,15.132,0.018,0.004,0.003,0.003,0.005,0.06157,0.00001,0,GALAXY,,3.50,2.46,2.36,2.36,149.65,143.72,0.0427,0.0188,0.0407,3,SDSS J134600.95+312548.7,2024-53503-0162,53120.3838
0.047794,1442130652266552960,203.30050393947147,22.47195939799115,9.034165382684638,79.44581928901395,-0.04832593387909566,0.15369302,0.013520271383282937,0.08887254,0.06389188559078798,0.13556212,18.289474,910.2416145442478,1.9268581,18.617311,17.811714,0.8055973,2016.0,1237667783915864217,203.300516,22.471967,0.004,0.004,90,4,6,0,0.004,0.004,21.608,18.927,18.385,18.218,18.227,0.154,0.009,0.008,0.009,0.024,,,,,,,,,,,,,,,3,SDSS J133312.12+222819.0,,53441.3617
0.048014,1442130652266552960,203.30050393947147,22.47195939799115,9.034165382684638,79.44581928901395,-0.04832593387909566,0.15369302,0.013520271383282937,0.08887254,0.06389188559078798,0.13556212,18.289474,910.2416145442478,1.9268581,18.617311,17.811714,0.8055973,2016.0,1237667783915864216,203.300516,22.471967,0.004,0.004,90,3,3,0,0.004,0.004,20.553,18.585,18.166,18.000,17.874,0.076,0.008,0.008,0.009,0.023,,,,,,,,,,,,,,,3,SDSS J133312.12+222819.0,,53441.3617
0.056860,1442130652266552960,203.30050393947147,22.47195939799115,9.034165382684638,79.44581928901395,-0.04832593387909566,0.15369302,0.013520271383282937,0.08887254,0.06389188559078798,0.13556212,18.289474,910.2416145442478,1.9268581,18.617311,17.811714,0.8055973,2016.0,1237667783915864219,203.300521,22.471957,0.004,0.004,90,3,3,0,0.004,0.004,19.904,18.590,18.168,18.001,17.883,0.048,0.008,0.008,0.009,0.022,,,,,,,,,,,,,,,3,SDSS J133312.12+222819.0,,53441.3617
0.059520,1442130652266552960,203.30050393947147,22.47195939799115,9.034165382684638,79.44581928901395,-0.04832593387909566,0.15369302,0.013520271383282937,0.08887254,0.06389188559078798,0.13556212,18.289474,910.2416145442478,1.9268581,18.617311,17.811714,0.8055973,2016.0,1237667783915864220,203.300522,22.471957,0.004,0.004,90,1,6,1,0.004,0.004,21.236,18.874,18.407,18.236,18.225,0.107,0.009,0.008,0.009,0.023,3.06288,0.00027,0,QSO,BROADLINE,0.00,0.00,0.00,0.00,0.00,0.00,,,,3,SDSS J133312.12+222819.0,5861-56069-0712,53441.3617
